,precision, recall, f1, roc, pr, precision_eval, recall_eval, f1_eval, samplenum
35600,0.7205240174672489,0.32142857142857145,0.4445442299057028,0,0,0.8891454965357968,1.0,0.941320293398533,762
36624,0.7205240174672489,0.32142857142857145,0.4445442299057028,0,0,0.8891454965357968,1.0,0.941320293398533,781
37648,0.7184325108853411,0.32142857142857145,0.4441453566621804,0,0,0.8881199538638985,1.0,0.9407452657299938,794
38672,0.717391304347826,0.32142857142857145,0.4439461883408072,0,0,0.8876080691642652,1.0,0.9404580152671755,815
39696,0.7071428571428572,0.32142857142857145,0.44196428571428575,0,0,0.8825214899713467,1.0,0.9375951293759514,827
40720,0.7001414427157001,0.32142857142857145,0.4405874499332443,0,0,0.8789954337899544,1.0,0.9356014580801945,848
41744,0.6971830985915493,0.32142857142857145,0.44000000000000006,0,0,0.8774928774928775,1.0,0.9347496206373292,873
42768,0.6942496493688639,0.32142857142857145,0.4394141145139814,0,0,0.875995449374289,1.0,0.9338993329290479,893
43792,0.7243107769423559,0.32435465768799104,0.448062015503876,0,0,0.8901098901098901,1.0,0.9418604651162791,914
44816,0.7212713936430318,0.3238199780461032,0.44696969696969696,0,0,0.8887804878048781,1.0,0.941115702479339,938
45840,0.7366120218579235,0.3069216757741348,0.4333011893281903,0,0,0.9011079195732458,1.0,0.947981869199223,955
46864,0.7492625368731564,0.3124231242312423,0.4409722222222222,0,0,0.9053452115812918,1.0,0.9503214494447692,976
47888,0.7448680351906158,0.3124231242312423,0.44020797227036396,0,0,0.9033333333333333,1.0,0.9492119089316988,1000
48912,0.7609277430865299,0.28105436573311365,0.41049085659287776,0,0,0.9188616409324856,1.0,0.9577153676238561,1018
49936,0.7672413793103449,0.2632428072062382,0.391991991991992,0,0,0.9260458167330677,1.0,0.9616031027795734,1038
50960,0.7625637290604516,0.24337517433751743,0.3689867841409692,0,0,0.9295592048401037,1.0,0.9634938409854422,1060
51984,0.7835870284579749,0.22981366459627328,0.3553954675071289,0,0,0.9403175762000365,1.0,0.9692408992568903,1079
53008,0.7930817610062894,0.2212280701754386,0.34595336076817557,0,0,0.9454304196384143,1.0,0.9719498678489216,1099
54032,0.7997587454764777,0.21578519121236778,0.33986928104575165,0,0,0.9487417014049714,1.0,0.9736967200126762,1117
55056,0.8065078442765834,0.19971223021582735,0.3201476184984431,0,0,0.9542770836193876,1.0,0.9766036675331974,1137
56080,0.8104723961297666,0.1837182299058186,0.2995372318047959,0,0,0.9588075210291934,1.0,0.9789706346700348,1160
57104,0.8104723961297666,0.1837182299058186,0.2995372318047959,0,0,0.9588075210291934,1.0,0.9789706346700348,1185
58128,0.8090909090909091,0.1837182299058186,0.2994427504994217,0,0,0.95845183628045,1.0,0.9787852001515344,1211
59152,0.8090909090909091,0.1837182299058186,0.2994427504994217,0,0,0.95845183628045,1.0,0.9787852001515344,1237
60176,0.8090909090909091,0.1837182299058186,0.2994427504994217,0,0,0.95845183628045,1.0,0.9787852001515344,1257
61200,0.8086314593980692,0.1837182299058186,0.2994112699747687,0,0,0.9583333333333334,1.0,0.9787234042553191,1283
62224,0.8116100766703176,0.1859239744072262,0.3025415943656221,0,0,0.9586289837642814,1.0,0.9788775635515167,1306
63248,0.8155495978552278,0.1868320845105024,0.30401758944633217,0,0,0.9594578668238067,1.0,0.9793095152171298,1321
64272,0.8148742643124666,0.18698588090853285,0.30417415618134613,0,0,0.9592509716170062,1.0,0.979201731185381,1341
65296,0.8144385026737968,0.18698588090853285,0.30414378432351474,0,0,0.9591380122468205,1.0,0.979142874316283,1358
66320,0.8114011720831114,0.18698588090853285,0.303931351027739,0,0,0.9583480409459937,1.0,0.9787310742609949,1374
67344,0.8109691160809371,0.18698588090853285,0.3039010276364362,0,0,0.9582352941176471,1.0,0.978672273956143,1393
68368,0.8109691160809371,0.18698588090853285,0.3039010276364362,0,0,0.9582352941176471,1.0,0.978672273956143,1408
69392,0.8101063829787234,0.18698588090853285,0.30384039900249377,0,0,0.9580098800282286,1.0,0.9785546945395567,1428
70416,0.8101063829787234,0.18698588090853285,0.30384039900249377,0,0,0.9580098800282286,1.0,0.9785546945395567,1454
71440,0.8101063829787234,0.18698588090853285,0.30384039900249377,0,0,0.9580098800282286,1.0,0.9785546945395567,1476
72464,0.8154084798345398,0.19018330921369994,0.3084294934480735,0,0,0.9587235518557059,1.0,0.9789268638214981,1493
73488,0.8174924165824065,0.19149692089057319,0.31030512377662633,0,0,0.9590005678591709,1.0,0.9790712505072757,1506
74512,0.8174924165824065,0.19149692089057319,0.31030512377662633,0,0,0.9590005678591709,1.0,0.9790712505072757,1529
75536,0.8174924165824065,0.19149692089057319,0.31030512377662633,0,0,0.9590005678591709,1.0,0.9790712505072757,1557
76560,0.8170793329964628,0.19149692089057319,0.31027535258562794,0,0,0.9588916647740177,1.0,0.9790144927536232,1582
77584,0.8166666666666667,0.19149692089057319,0.3102455871066769,0,0,0.9587827864198932,1.0,0.9789577415801982,1609
78608,0.8162544169611308,0.19149692089057319,0.31021582733812947,0,0,0.9586739327883742,1.0,0.9789009969858568,1636
79632,0.8154311649016641,0.19149692089057319,0.3101563249256737,0,0,0.9584562996594779,1.0,0.9787875275298481,1654
80656,0.8146095717884131,0.19149692089057319,0.3100968453351233,0,0,0.9582387653200182,1.0,0.9786740843764488,1673
81680,0.8137896326119779,0.19149692089057319,0.3100373885533506,0,0,0.9580213297027457,1.0,0.9785606675165142,1690
